<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.20	11:10:00	24801	24826	24801	24817	42	0	14
2021.08.20	11:11:00	24817	24825	24815	24816	45	0	14
2021.08.20	11:12:00	24816	24824	24814	24823	46	0	14
2021.08.20	11:13:00	24823	24830	24819	24822	33	0	14
2021.08.20	11:14:00	24822	24832	24819	24832	35	0	14
2021.08.20	11:15:00	24832	24838	24827	24831	45	0	14
2021.08.20	11:16:00	24831	24834	24827	24827	40	0	14
2021.08.20	11:17:00	24827	24831	24823	24825	27	0	14
2021.08.20	11:18:00	24825	24829	24819	24822	35	0	14
2021.08.20	11:19:00	24823	24823	24815	24816	31	0	14
2021.08.20	11:20:00	24816	24817	24795	24797	49	0	14
2021.08.20	11:21:00	24797	24799	24784	24784	44	0	14
2021.08.20	11:22:00	24784	24789	24784	24787	30	0	14
2021.08.20	11:23:00	24787	24788	24778	24781	37	0	14
2021.08.20	11:24:00	24780	24782	24770	24777	39	0	14
2021.08.20	11:25:00	24777	24784	24773	24784	42	0	14
2021.08.20	11:26:00	24783	24793	24783	24793	22	0	14
2021.08.20	11:27:00	24793	24807	24787	24801	39	0	14
2021.08.20	11:28:00	24801	24813	24798	24803	45	0	14
2021.08.20	11:29:00	24801	24811	24799	24803	59	0	14
2021.08.20	12:15:00	24781	24823	24781	24820	30	0	14
2021.08.20	12:16:00	24820	24830	24819	24823	22	0	14
2021.08.20	12:17:00	24823	24828	24818	24823	20	0	14
2021.08.20	12:18:00	24823	24827	24822	24825	16	0	14
2021.08.20	12:19:00	24825	24825	24816	24817	10	0	14
2021.08.20	12:20:00	24818	24825	24814	24824	25	0	14
2021.08.20	12:21:00	24824	24828	24820	24826	18	0	14
2021.08.20	12:22:00	24826	24845	24826	24839	27	0	14
2021.08.20	12:23:00	24839	24849	24839	24846	19	0	14
2021.08.20	12:24:00	24846	24848	24841	24847	20	0	14
2021.08.20	12:25:00	24848	24856	24845	24851	17	0	14
2021.08.20	12:26:00	24852	24857	24852	24854	21	0	14
2021.08.20	12:27:00	24855	24861	24853	24858	27	0	14
2021.08.20	12:28:00	24858	24864	24858	24861	23	0	14
2021.08.20	12:29:00	24861	24864	24860	24864	12	0	14
2021.08.20	12:30:00	24864	24864	24852	24855	26	0	14
2021.08.20	12:31:00	24855	24859	24846	24850	40	0	14
2021.08.20	12:32:00	24849	24857	24847	24856	28	0	14
2021.08.20	12:33:00	24857	24865	24856	24864	28	0	14
2021.08.20	12:34:00	24864	24885	24863	24885	32	0	14
2021.08.20	12:35:00	24885	24895	24884	24895	28	0	14
2021.08.20	12:36:00	24894	24894	24889	24894	29	0	14
2021.08.20	12:37:00	24894	24897	24887	24887	28	0	14
2021.08.20	12:38:00	24887	24898	24886	24897	30	0	14
2021.08.20	12:39:00	24897	24904	24893	24902	22	0	14
2021.08.20	12:40:00	24902	24909	24898	24899	42	0	14
2021.08.20	12:41:00	24899	24900	24892	24896	27	0	14
2021.08.20	12:42:00	24896	24896	24894	24894	16	0	14
2021.08.20	12:43:00	24894	24904	24893	24903	27	0	14
2021.08.20	12:44:00	24903	24908	24898	24905	33	0	14
2021.08.20	12:45:00	24905	24906	24899	24901	26	0	14
2021.08.20	12:46:00	24901	24906	24900	24903	23	0	14
2021.08.20	12:47:00	24904	24905	24899	24902	16	0	14
2021.08.20	12:48:00	24902	24903	24896	24899	23	0	14
2021.08.20	12:49:00	24898	24901	24895	24901	15	0	14
2021.08.20	12:50:00	24901	24906	24894	24895	33	0	14
2021.08.20	12:51:00	24897	24898	24884	24885	32	0	14
2021.08.20	12:52:00	24885	24886	24883	24883	29	0	14
2021.08.20	12:53:00	24883	24884	24870	24874	23	0	14
2021.08.20	12:54:00	24875	24880	24872	24874	19	0	14
2021.08.20	12:55:00	24874	24874	24865	24865	14	0	14
2021.08.20	12:56:00	24865	24875	24863	24875	34	0	14
2021.08.20	12:57:00	24875	24889	24875	24888	34	0	14
2021.08.20	12:58:00	24888	24891	24880	24891	26	0	14
2021.08.20	12:59:00	24891	24899	24887	24897	36	0	14
2021.08.20	13:00:00	24897	24898	24886	24888	37	0	14
2021.08.20	13:01:00	24888	24890	24886	24888	24	0	14
2021.08.20	13:02:00	24888	24888	24880	24881	12	0	14
2021.08.20	13:03:00	24881	24881	24874	24880	29	0	14
2021.08.20	13:04:00	24880	24881	24877	24878	35	0	14
2021.08.20	13:05:00	24878	24881	24874	24877	37	0	14
2021.08.20	13:06:00	24877	24877	24866	24866	34	0	14
2021.08.20	13:07:00	24866	24867	24862	24867	27	0	14
2021.08.20	13:08:00	24867	24872	24860	24869	34	0	14
2021.08.20	13:09:00	24870	24879	24866	24878	31	0	14
2021.08.20	13:10:00	24878	24882	24870	24879	38	0	14
2021.08.20	13:11:00	24879	24882	24873	24873	32	0	14
2021.08.20	13:12:00	24873	24874	24869	24871	25	0	14
2021.08.20	13:13:00	24871	24878	24871	24878	20	0	14
2021.08.20	13:14:00	24877	24882	24877	24881	26	0	14
2021.08.20	13:15:00	24881	24889	24879	24889	25	0	14
2021.08.20	13:16:00	24889	24889	24882	24884	20	0	14
2021.08.20	13:17:00	24884	24889	24884	24888	13	0	14
2021.08.20	13:18:00	24888	24894	24888	24892	10	0	14
2021.08.20	13:19:00	24892	24904	24891	24904	25	0	14
2021.08.20	13:20:00	24904	24905	24898	24899	21	0	14
2021.08.20	13:21:00	24899	24899	24890	24890	21	0	14
2021.08.20	13:22:00	24890	24892	24886	24886	20	0	14
2021.08.20	13:23:00	24886	24887	24878	24880	23	0	14
2021.08.20	13:24:00	24880	24896	24878	24892	38	0	14
2021.08.20	13:25:00	24892	24899	24888	24899	26	0	14
2021.08.20	13:26:00	24898	24899	24893	24897	19	0	14
2021.08.20	13:27:00	24897	24898	24893	24894	22	0	14
2021.08.20	13:28:00	24894	24894	24885	24888	25	0	14
2021.08.20	13:29:00	24888	24892	24886	24889	24	0	14
2021.08.20	13:30:00	24889	24897	24888	24894	14	0	14
2021.08.20	13:31:00	24895	24896	24894	24895	24	0	14
2021.08.20	13:32:00	24895	24897	24894	24895	9	0	14
2021.08.20	13:33:00	24895	24903	24894	24902	14	0	14
2021.08.20	13:34:00	24902	24902	24892	24894	19	0	14
2021.08.20	13:35:00	24892	24892	24887	24888	18	0	14
2021.08.20	13:36:00	24888	24889	24882	24885	15	0	14
2021.08.20	13:37:00	24885	24886	24882	24885	19	0	14
2021.08.20	13:38:00	24884	24889	24884	24887	16	0	14
2021.08.20	13:39:00	24887	24888	24884	24887	13	0	14
2021.08.20	13:40:00	24888	24891	24886	24890	15	0	14
